mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used
4,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.4,3.37,21.37,27.72,1.0,shear
4,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.4,3.37,21.37,27.72,4.98,rx_en
4,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.4,3.37,21.37,27.72,3.98,va_cs
4,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.4,3.37,21.37,27.72,6.97,bisection
4,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.4,3.37,21.37,27.72,1.0,shear
4,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.4,3.37,21.37,27.72,4.98,rx_en
4,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.4,3.37,21.37,27.72,3.98,va_cs
4,2015-10-16 10:28:30,2015-10-16 10:38:30,9.22,6.08,-4.4,3.37,21.37,27.72,6.97,bisection
4,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.41,-17.12,2.88,shear
4,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.41,-17.12,1.92,rx_en
4,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.41,-17.12,3.84,va_cs
4,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.41,-17.12,3.84,bisection
4,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.41,-17.12,2.88,shear
4,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.41,-17.12,1.92,rx_en
4,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.41,-17.12,3.84,va_cs
4,2015-10-16 13:02:02,2015-10-16 13:12:02,8.3,7.07,-4.79,-5.12,-2.41,-17.12,3.84,bisection
4,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.47,-1.96,-1.64,-10.04,-13.61,9.95,shear
4,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.47,-1.96,-1.64,-10.04,-13.61,8.96,rx_en
4,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.47,-1.96,-1.64,-10.04,-13.61,3.98,va_cs
4,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.47,-1.96,-1.64,-10.04,-13.61,1.99,bisection
4,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.47,-1.96,-1.64,-10.04,-13.61,9.95,shear
4,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.47,-1.96,-1.64,-10.04,-13.61,8.96,rx_en
4,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.47,-1.96,-1.64,-10.04,-13.61,3.98,va_cs
4,2015-10-22 06:00:22,2015-10-22 06:10:22,9.63,3.47,-1.96,-1.64,-10.04,-13.61,1.99,bisection
4,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.44,20.0,23.44,10.83,shear
4,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.44,20.0,23.44,24.62,rx_en
4,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.44,20.0,23.44,8.86,va_cs
4,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.44,20.0,23.44,8.86,bisection
4,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.44,20.0,23.44,10.83,shear
4,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.44,20.0,23.44,24.62,rx_en
4,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.44,20.0,23.44,8.86,va_cs
4,2015-11-01 15:03:06,2015-11-01 15:13:06,7.81,6.19,-3.47,5.44,20.0,23.44,8.86,bisection
4,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.68,-0.15,10.35,6.6,shear
4,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.68,-0.15,10.35,0.0,rx_en
4,2015-11-12 07:14:21,2015-11-12 07:24:21,11.49,2.3,-1.77,3.68,-0.15,10.35,3.77,va_cs
